business_scale,risk_exposure,data_type,potential_loss,annual_revenue,compliance_requirements,premium
Medium,Medium,Non-sensitive,2482386,8481630,no,11774
Small,Medium,Non-sensitive,4491417,6363352,no,13274
Large,Low,Non-sensitive,4723385,16712419,no,4158
Small,Medium,Non-sensitive,2151418,17761543,yes,4751
Medium,High,Sensitive,2428058,19830357,yes,3124
Large,Low,Non-sensitive,2939874,12577805,no,10273
Small,Medium,Non-sensitive,4666461,3924599,no,8054
Medium,High,Sensitive,2749469,11824851,yes,13647
Small,Medium,Non-sensitive,4803526,18013375,yes,11352
Small,Low,Sensitive,4332612,16667771,yes,6866
Large,High,Non-sensitive,4662036,12986348,yes,11217
Medium,High,Non-sensitive,106734,17797493,yes,3596
Small,Low,Sensitive,2827732,14094819,no,7891
Small,Low,Non-sensitive,1147597,18709156,yes,8626
Medium,Medium,Non-sensitive,908240,17753871,no,14898
Small,Low,Non-sensitive,2745269,14670362,no,6855
Large,High,Sensitive,3880904,12512969,no,6662
Small,Medium,Sensitive,4907393,3085426,no,7446
Medium,High,Sensitive,3823877,19622371,yes,14262
Large,Low,Sensitive,76494,14797720,yes,7438
Small,High,Sensitive,4147388,6347479,yes,8224
Medium,Medium,Non-sensitive,1920986,8943235,no,11703
Medium,High,Sensitive,2609631,2103920,no,6249
Large,Low,Sensitive,217757,9580454,no,12188
Medium,Medium,Non-sensitive,1808324,7468577,no,5662
Small,Low,Non-sensitive,858212,5735755,no,9322
Large,Low,Non-sensitive,4216998,2715985,no,12568
Small,Medium,Non-sensitive,4698466,12322362,yes,7485
Large,Low,Non-sensitive,123036,10411643,yes,14145
Small,Medium,Non-sensitive,2547433,1551781,no,14373
Small,Low,Non-sensitive,574123,17264509,no,8714
Large,High,Non-sensitive,3038743,19255165,yes,7909
Medium,Medium,Non-sensitive,2209510,3316128,no,6938
Small,Medium,Non-sensitive,2374234,6260496,no,7231
Large,Medium,Non-sensitive,4213842,11754202,no,14325
Small,High,Non-sensitive,1699492,7330652,no,12309
Small,Medium,Sensitive,1014299,2767874,no,8384
Large,Medium,Sensitive,2114663,2877042,yes,12271
Large,Low,Sensitive,4105532,17149450,no,13408
Small,High,Non-sensitive,4156645,14938982,no,8084
Medium,Low,Non-sensitive,3763961,12387534,yes,4135
Large,Medium,Sensitive,686572,4188889,no,11166
Small,Low,Sensitive,4170880,4208127,no,4560
Small,Medium,Sensitive,631612,19328517,no,14598
Large,Low,Non-sensitive,1235987,13947334,no,13484
Large,High,Sensitive,2183040,14847417,no,9908
Large,Medium,Non-sensitive,2527582,15540514,yes,10096
Large,Medium,Sensitive,177636,17474722,yes,12679
Medium,Low,Sensitive,332705,9521629,yes,10304
Small,High,Non-sensitive,1227201,2231678,no,9467
Small,Medium,Sensitive,1195929,15271613,yes,7120
Medium,Medium,Non-sensitive,1403399,14235660,yes,10441
Medium,Low,Sensitive,4645836,16445925,no,10468
Large,Medium,Non-sensitive,2808255,19677642,yes,9844
Small,High,Non-sensitive,2773040,6239171,yes,5305
Large,High,Non-sensitive,571488,3401236,yes,14085
Small,High,Non-sensitive,3640475,9281884,no,10784
Large,Medium,Sensitive,4711598,7513395,yes,9758
Medium,Low,Non-sensitive,1700791,13075432,no,13014
Small,Low,Non-sensitive,4022194,18404592,yes,4120
Large,Low,Non-sensitive,4883042,17372314,no,7282
Small,Medium,Non-sensitive,2745904,16247415,no,5223
Small,Medium,Sensitive,4525933,1019572,yes,4617
Medium,Medium,Sensitive,1964731,7831466,yes,3228
Small,Medium,Sensitive,3110191,17396725,no,12330
Large,Low,Sensitive,4292309,11591687,yes,14051
Medium,High,Sensitive,2936282,11405812,no,12217
Medium,Low,Sensitive,3521927,14485484,no,9501
Medium,Medium,Sensitive,741139,18282194,no,11432
Large,Low,Sensitive,3831378,12935646,yes,3712
Small,Low,Sensitive,3762204,7843954,yes,3574
Small,High,Sensitive,2537120,12850264,yes,14908
Small,Medium,Non-sensitive,3487153,8627519,yes,4244
Medium,Low,Sensitive,972624,15180771,yes,13972
Small,High,Sensitive,3314932,7923150,yes,11450
Medium,Low,Non-sensitive,2905356,14194321,yes,10777
Medium,High,Non-sensitive,1755553,1740542,yes,12304
Small,Low,Non-sensitive,811782,1708221,yes,12792
Medium,Medium,Non-sensitive,4437237,6116573,no,8553
Large,Low,Non-sensitive,2397459,5428303,yes,8726
Large,High,Non-sensitive,3786921,3394543,yes,11481
Small,Low,Non-sensitive,2754718,17488948,yes,9719
Large,Low,Non-sensitive,3231618,2983713,yes,3710
Small,Low,Non-sensitive,1363146,1626710,yes,6090
Medium,Low,Sensitive,2041759,8595509,yes,4353
Small,Medium,Non-sensitive,2829524,3639224,yes,12592
Medium,High,Sensitive,4216060,3834017,no,11384
Medium,High,Non-sensitive,1159647,14841462,no,11756
Small,Low,Sensitive,4278053,18737706,no,7277
Medium,Low,Sensitive,3142477,13347499,yes,10238
Medium,High,Non-sensitive,374286,8330363,yes,8111
Medium,Low,Sensitive,251007,5700948,no,9364
Medium,Low,Sensitive,2948447,5183312,yes,8709
Medium,Medium,Sensitive,421779,16775392,yes,3747
Small,High,Sensitive,2348227,11535085,yes,6673
Medium,High,Sensitive,2833231,11486654,no,3316
Small,High,Non-sensitive,2003979,7779633,yes,8540
Medium,High,Non-sensitive,4743930,5099698,yes,14936
Large,High,Sensitive,576838,14693851,yes,4999
Medium,Medium,Non-sensitive,4295930,3087819,no,12640
Large,High,Sensitive,4649397,8730750,no,7457
Medium,Medium,Non-sensitive,4855386,16294908,no,3316
Small,High,Non-sensitive,480622,19024130,yes,3836
Small,High,Non-sensitive,1259843,7022255,no,4233
Medium,Medium,Sensitive,4736729,9292006,no,12402
Small,High,Non-sensitive,2804812,2970215,no,6641
Large,Medium,Non-sensitive,2400201,10678716,yes,12232
Medium,Medium,Sensitive,2304066,2393912,yes,10481
Large,Medium,Sensitive,867977,10552735,no,3779
Medium,Low,Sensitive,1872840,11855432,yes,5714
Small,High,Sensitive,3518681,19744208,yes,13113
Small,Low,Sensitive,3688128,8375248,yes,12388
Small,High,Sensitive,1520567,14631751,yes,6342
Small,Medium,Sensitive,641172,4807606,yes,6045
Small,High,Sensitive,4479947,4337099,yes,10052
Medium,Medium,Non-sensitive,359996,19255219,no,12405
Large,Medium,Non-sensitive,913044,11650233,no,12641
Medium,High,Non-sensitive,1878067,4440604,yes,7495
Small,Medium,Sensitive,3339855,8857357,no,7002
Medium,Low,Non-sensitive,2660612,12467644,no,9924
Large,Medium,Sensitive,2685702,1382978,yes,12871
Medium,High,Sensitive,4599390,12253706,no,10050
Medium,High,Non-sensitive,2053376,17020407,no,11976
Medium,Medium,Non-sensitive,878262,18076643,yes,8553
Medium,Medium,Sensitive,2309522,7520833,yes,3624
Small,Medium,Non-sensitive,3866119,1707745,yes,7289
Medium,High,Sensitive,4630197,12209426,yes,4580
Medium,High,Sensitive,2256388,2278019,yes,3972
Small,High,Non-sensitive,3995177,8082694,no,12715
Medium,High,Sensitive,4889261,18245059,no,9480
Medium,High,Sensitive,4239410,13579427,no,10981
Large,High,Non-sensitive,2113307,9661012,no,10145
Large,Low,Non-sensitive,2523051,12854985,no,11975
Medium,Low,Non-sensitive,2348049,5514067,yes,13168
Medium,Medium,Sensitive,1010446,16106243,no,4503
Large,Medium,Sensitive,1826919,9466013,yes,8557
Small,Medium,Non-sensitive,2131571,14415826,no,12058
Small,Medium,Non-sensitive,2223509,9105099,yes,9024
Small,Low,Sensitive,2441168,18383158,no,9076
Large,Low,Sensitive,1427785,1769303,yes,9907
Small,Low,Non-sensitive,4783574,18455535,yes,14166
Small,Low,Sensitive,3005887,5225034,yes,11133
Medium,Low,Sensitive,1005705,16221127,no,12188
Large,Medium,Sensitive,4441894,9254634,yes,9592
Small,High,Sensitive,1139355,8161354,yes,10758
Medium,Medium,Non-sensitive,4092339,13942303,no,6708
Medium,High,Non-sensitive,1376990,6024022,no,8173
Small,High,Sensitive,890856,1331384,no,7533
Small,Low,Sensitive,1379193,19072765,no,6136
Medium,Low,Sensitive,3050251,12929799,yes,8585
Medium,High,Sensitive,692942,19248199,yes,14349
Small,High,Non-sensitive,918953,9519383,yes,9363
Small,Low,Sensitive,1803237,5577120,no,10377
Small,High,Non-sensitive,2866249,18817570,yes,5487
Medium,High,Sensitive,54504,13557400,no,9685
Small,Low,Non-sensitive,4760907,1090766,yes,4983
Large,Low,Non-sensitive,488030,7605894,yes,9232
Medium,High,Non-sensitive,2905874,1791366,yes,9660
Medium,Medium,Non-sensitive,2583853,4277622,no,3635
Large,Low,Non-sensitive,260541,19341638,no,11206
Medium,High,Non-sensitive,3169683,5129995,yes,9899
Small,High,Non-sensitive,4651106,17716082,yes,12428
Small,Medium,Non-sensitive,3600248,6054458,yes,8498
Medium,High,Non-sensitive,2915021,2412596,no,8770
Small,Medium,Sensitive,2228492,15616483,yes,11559
Medium,High,Non-sensitive,642490,10430029,no,3507
Large,Medium,Sensitive,4417942,12826869,no,12569
Medium,Low,Non-sensitive,3104785,14227896,no,13769
Large,Low,Sensitive,2670350,18430935,no,10291
Medium,High,Non-sensitive,4146707,1060888,no,13781
Medium,High,Non-sensitive,1940849,6825186,yes,12802
Medium,High,Non-sensitive,1168563,17094679,yes,7241
Medium,Medium,Sensitive,2003171,17563352,no,14234
Large,Low,Non-sensitive,936018,18157673,no,14502
Large,Medium,Non-sensitive,551053,15169679,yes,4853
Large,Low,Non-sensitive,1496855,12114529,yes,12067
Small,High,Non-sensitive,2271137,3950330,yes,9372
Large,Medium,Sensitive,1234025,9581593,yes,12909
Large,High,Sensitive,1434536,7333047,yes,9570
Medium,Low,Non-sensitive,2591394,15700163,yes,10146
Medium,High,Sensitive,4347060,8187788,no,12093
Large,Low,Non-sensitive,2348156,2850778,no,6692
Small,High,Sensitive,845073,11726140,yes,14523
Medium,Low,Non-sensitive,3250499,10872679,no,12759
Large,High,Sensitive,3863304,2452269,yes,11368
Large,High,Non-sensitive,2490297,13432967,yes,12700
Medium,Medium,Sensitive,3109928,3788453,no,11009
Large,Low,Non-sensitive,4393029,18190347,no,3891
Medium,High,Sensitive,2712194,6227567,no,12440
Small,High,Non-sensitive,1006356,4388407,no,3852
Medium,High,Sensitive,1036113,7580406,yes,6210
Medium,Medium,Non-sensitive,1982509,13372438,yes,3868
Large,Low,Non-sensitive,4457983,3829377,yes,7507
Medium,Medium,Non-sensitive,1025519,12892212,no,13891
Large,Medium,Sensitive,2870113,3586266,no,14399
Small,High,Sensitive,4699662,13650209,yes,8071
Small,Medium,Non-sensitive,4410498,11068955,yes,4970
Small,High,Non-sensitive,1199559,11032029,no,6951
Medium,Medium,Non-sensitive,4599740,12273962,no,9920
Large,High,Sensitive,2698984,11182325,no,3337
Large,Low,Sensitive,1347709,11479819,yes,5971
Medium,Low,Sensitive,3794764,9762825,yes,10371
Large,Medium,Sensitive,1071782,5977149,yes,4874
Medium,High,Non-sensitive,2621392,17341784,no,9423
Large,Medium,Non-sensitive,4762168,10575411,yes,10747
Small,Medium,Sensitive,2287442,11492234,no,9848
Large,Medium,Sensitive,4502354,10951827,yes,11899
Medium,High,Non-sensitive,584923,4869934,yes,9234
Medium,High,Sensitive,3508966,4457652,yes,4034
Small,High,Sensitive,1961266,10588882,yes,10330
Medium,Low,Sensitive,4439759,9797067,no,9010
Large,High,Non-sensitive,2225023,13582420,no,3896
Large,High,Sensitive,965116,10469896,no,7843
Small,Low,Sensitive,4874203,2580755,yes,4437
Small,Low,Non-sensitive,3502610,3816965,no,10140
Medium,Medium,Sensitive,3066021,6319394,yes,14073
Medium,Medium,Non-sensitive,3414889,17619082,no,9691
Small,Medium,Non-sensitive,2533880,15165014,yes,4963
Medium,Low,Non-sensitive,3182954,5952091,yes,12025
Small,Medium,Sensitive,1681602,12954831,yes,3570
Small,Medium,Sensitive,3036191,1197133,no,14617
Small,Low,Sensitive,4436389,12213021,yes,6068
Large,Medium,Non-sensitive,4522959,13310252,yes,13514
Small,High,Sensitive,2121425,1478184,no,12331
Medium,High,Non-sensitive,4185705,4545473,yes,6031
Small,Medium,Non-sensitive,2948530,10282721,no,4906
Medium,High,Non-sensitive,4038663,4983037,yes,5092
Medium,Medium,Non-sensitive,1571221,3358827,yes,11831
Medium,High,Non-sensitive,4542996,13689908,no,7545
Large,Medium,Sensitive,2932479,1439670,yes,3469
Small,Medium,Non-sensitive,2765554,17734655,yes,3518
Large,Medium,Non-sensitive,1535359,2783147,no,11576
Medium,High,Non-sensitive,4180940,9080196,yes,7604
Medium,Low,Sensitive,348129,12023287,no,9068
Medium,Medium,Non-sensitive,3277430,19387666,no,5865
Large,Low,Sensitive,390513,6928562,yes,7759
Small,High,Non-sensitive,2411844,13887619,no,9262
Small,Medium,Non-sensitive,1020219,15140020,yes,11361
Medium,Low,Sensitive,672545,11397426,yes,4740
Medium,High,Sensitive,2798374,6333658,yes,4602
Large,Medium,Sensitive,3930443,5082696,yes,12212
Small,High,Sensitive,3972952,4609239,yes,9689
Small,High,Sensitive,272283,18253673,yes,14952
Medium,Low,Non-sensitive,4381885,17740570,no,5422
Large,Medium,Non-sensitive,3872848,5544826,yes,5770
Large,Low,Non-sensitive,416154,11723301,no,4297
Large,High,Sensitive,2712565,7790880,no,6254
Large,High,Sensitive,1067469,13025608,no,11454
Medium,High,Non-sensitive,1707815,13526255,no,3516
Medium,Low,Sensitive,371801,3417024,yes,13826
Medium,Low,Non-sensitive,1349111,1839041,no,3680
Large,High,Non-sensitive,3429273,9957427,yes,7777
Small,High,Sensitive,491541,9365811,no,12976
Small,High,Sensitive,2773702,6689319,yes,7989
Large,High,Sensitive,2457959,5432242,yes,5879
Large,Medium,Sensitive,1096983,5321162,no,11455
Medium,Low,Sensitive,2277641,7923761,no,3127
Large,Medium,Non-sensitive,3964973,16954278,yes,6190
Large,High,Sensitive,321703,6913559,no,13319
Medium,High,Non-sensitive,3477762,3850054,no,12294
Medium,High,Non-sensitive,3162403,7923711,yes,10695
Large,Medium,Sensitive,2195236,3999575,yes,7673
Large,High,Sensitive,2065839,15177083,no,14895
Small,Medium,Sensitive,3182071,4349469,no,10745
Large,Low,Non-sensitive,3832343,19502507,no,4995
Large,Low,Non-sensitive,4516511,12630459,yes,11910
Medium,High,Non-sensitive,1555348,6520382,no,6956
Large,High,Sensitive,189598,8006379,yes,11342
Small,High,Sensitive,3538844,13923046,no,12291
Small,Low,Non-sensitive,2898661,8720241,no,14483
Small,Low,Non-sensitive,1370589,3069364,no,5616
Large,Low,Non-sensitive,3492858,17019001,no,4981
Large,Low,Sensitive,2534163,4375421,no,14612
Medium,High,Non-sensitive,1155016,9365883,yes,5875
Medium,Low,Non-sensitive,367350,13990467,yes,7880
Large,Low,Non-sensitive,2465151,6594172,no,8157
Medium,Low,Sensitive,4322462,3096993,yes,3979
Medium,Medium,Non-sensitive,2791853,1478035,no,9270
Small,High,Sensitive,2250476,17117184,no,14821
Large,Medium,Sensitive,3477463,15213415,yes,11540
Small,Low,Sensitive,904147,12797075,yes,7588
Small,Low,Sensitive,1934111,10628071,yes,12164
Medium,High,Non-sensitive,1130742,10256989,no,5651
Medium,Medium,Sensitive,1583175,1658596,no,10964
Medium,Medium,Sensitive,917794,16382033,yes,13347
Small,High,Sensitive,571539,16643313,yes,10151
Small,High,Sensitive,801779,2769204,yes,8419
Medium,Medium,Non-sensitive,1315374,11593186,no,8611
Large,Medium,Sensitive,1634533,12447701,yes,6478
Small,Low,Sensitive,4011229,9826717,yes,13861
Large,Medium,Non-sensitive,4096895,13267410,no,13220
Small,Medium,Sensitive,2953281,9667460,no,3136
Small,Low,Non-sensitive,2477873,15574385,yes,14754
Small,High,Sensitive,4802805,13053590,yes,14033
Medium,High,Sensitive,4629969,1808126,yes,4553
Large,Medium,Sensitive,1631182,17217372,no,9737
Medium,Low,Non-sensitive,2720150,9672984,yes,10796
Small,Medium,Non-sensitive,2960857,19051392,no,11771
Medium,Low,Non-sensitive,3670771,17650110,yes,10043
Medium,High,Non-sensitive,4775139,18101029,no,12850
Small,Medium,Non-sensitive,343138,2107596,yes,7395
Medium,Low,Sensitive,3100872,18043647,no,3777
Small,High,Sensitive,2083102,3334209,no,13726
Medium,Low,Non-sensitive,789752,14999298,yes,4132
Large,Low,Non-sensitive,1560399,2699543,yes,3055
Medium,High,Non-sensitive,2897919,18341797,yes,7881
Small,Low,Sensitive,4240924,18149709,yes,12520
Large,High,Sensitive,3314409,12449087,yes,10246
Large,Low,Sensitive,3821191,8807026,no,6529
Small,Medium,Sensitive,985243,7194566,yes,4299
Medium,Low,Sensitive,3283108,8177585,yes,3307
Small,Low,Non-sensitive,1388200,3367755,no,13808
Small,Medium,Non-sensitive,3071890,3094392,yes,12667
Large,High,Non-sensitive,913563,17337818,no,5101
Small,High,Non-sensitive,3213345,6007658,yes,8901
Small,Low,Non-sensitive,267261,13802078,no,13543
Large,High,Sensitive,2713520,7205062,no,10216
Medium,High,Non-sensitive,4781859,15338178,no,8627
Large,Low,Sensitive,1176429,9128434,no,4740
Small,Medium,Sensitive,1454245,8906012,yes,6926
Large,High,Sensitive,2222397,12673316,yes,12945
Medium,Low,Sensitive,836909,6278730,no,10501
Small,High,Non-sensitive,2340139,7928800,no,3092
Small,Medium,Non-sensitive,3431121,11732405,yes,5605
Medium,High,Sensitive,2304848,9744312,yes,3612
Large,High,Sensitive,3694090,5293584,yes,7205
Medium,Low,Sensitive,3377507,3817551,no,6087
Medium,Medium,Non-sensitive,2826743,19171718,yes,3868
Medium,Medium,Non-sensitive,965626,11130715,yes,3157
Small,Low,Sensitive,2128876,15554628,no,7701
Small,Low,Non-sensitive,2767081,14019076,no,12617
Large,High,Non-sensitive,2437935,7515868,no,3885
Medium,Low,Non-sensitive,4604689,9705445,yes,14696
Medium,Medium,Sensitive,693698,2459476,no,5678
Medium,Medium,Non-sensitive,124785,19127335,no,11125
Large,High,Sensitive,306535,14731833,no,8358
Small,High,Non-sensitive,3101756,11310499,no,11694
Large,Medium,Non-sensitive,1659476,4438218,yes,6543
Small,High,Non-sensitive,3566697,5626008,no,9353
Large,High,Non-sensitive,2063331,18460398,no,8845
Small,Medium,Non-sensitive,3910207,9973871,yes,5691
Small,Low,Sensitive,4929530,11866364,yes,4093
Medium,Medium,Non-sensitive,2135724,8517415,yes,4077
Large,High,Sensitive,2894763,12454537,yes,14529
Small,High,Sensitive,4497687,8678912,yes,8857
Small,Medium,Non-sensitive,4923314,12878067,yes,14240
Large,High,Sensitive,4637224,7710161,yes,6039
Small,High,Non-sensitive,4718401,18022233,yes,4765
Large,Low,Sensitive,1979782,1240935,no,10695
Small,Low,Non-sensitive,416142,6354713,yes,10324
Small,Medium,Sensitive,4482953,13269042,yes,7125
Medium,Low,Sensitive,4475961,16679618,no,8388
Small,Medium,Non-sensitive,890406,2772097,no,10443
Large,High,Non-sensitive,4691703,18872228,yes,4676
Small,Low,Non-sensitive,394583,15281213,yes,10728
Small,Medium,Sensitive,2120660,9542178,no,9206
Medium,Low,Non-sensitive,444843,2460429,no,12550
Large,Medium,Non-sensitive,1578720,8501821,no,4637
Large,Medium,Sensitive,3306577,14806360,no,9674
Medium,Low,Sensitive,2995849,16453588,no,5527
Small,High,Non-sensitive,4788557,13193270,yes,7085
Small,Low,Sensitive,2772210,17089326,yes,3585
Medium,High,Non-sensitive,4317541,7711272,no,14874
Medium,Low,Non-sensitive,1641563,5842279,yes,12256
Large,Low,Non-sensitive,4814191,10467660,yes,7474
Large,Low,Sensitive,2575524,3218609,no,4518
Large,High,Non-sensitive,638145,6159699,yes,7903
Large,High,Sensitive,1557576,18865841,no,10087
Small,Medium,Sensitive,4650993,5844991,no,8982
Small,Low,Sensitive,4810025,18619580,yes,7317
Medium,High,Sensitive,3249657,5484259,no,13002
Small,Low,Sensitive,3169453,18857023,no,12623
Large,High,Non-sensitive,1767435,18128255,no,12781
Small,High,Non-sensitive,1390977,1766364,no,11113
Small,High,Sensitive,4792696,19000972,yes,3701
Small,Low,Sensitive,1556760,5997859,yes,7446
Medium,Low,Non-sensitive,474704,13748924,no,9495
